ID,VERSE,TYPE,GREEK,ENGLISH
40002001,Matt. 2:1,start,λεγοντες,saying
40003002,Matt. 3:2,start,και λεγων,saying
40005004,Matt. 5:4,order,μακαριοι οι πενθουντεσ  οτι αυτοι παρακληθησονται,"blessed are those who mourn, for they shall be comforted."
40005005,Matt. 5:5,order,μακαριοι οι πραεισ οτι αυτοι κληρονομησουσιν την γην,"blessed are the gentle, for they shall inherit the earth."
40009024,Matt. 9:24,start,ελεγεν,he was saying
40012050,Matt. 12:50,join,οστισ γαρ αν ποιηση το θελημα του πατροσ μου του εν ουρανοισ αυτοσ μου αδελφοσ και αδελφη και μητηρ εστιν,"for whoever does the will of my Father who is in heaven, he is my brother, and sister, and mother."
40015006,Matt. 15:6,start,[kai] ου μη τιμησει τον πατερα αυτου [η την μητερα αυτου],he does not need to honor his father [or mother]
40017015,Matt. 17:15,start,και λεγων,and saying
40020005,Matt. 20:5,start,οι δε απηλθον,and they went away
40021002,Matt. 21:2,start,λεγων αυτοις ,saying to them
40023013,Matt. 23:13,order,ουαι [δε] υμειν γραμματεισ και φαρισαιοι υποκριται οτι κλειεται την βασιλειαν των ουρανων ενπροσθεν των ανθρωπων υμεισ γαρ ουκ εισερχεσθαι ουδε τουσ εισερχομενουσ αφειεται εισελθειν,"but woe to you, scribes and Pharisees, hypocrites! Because you shut up the Kingdom of Heaven against men; for you don’t enter in yourselves, neither do you allow those who are entering in to enter."
40023014,Matt. 23:14,order,ουαι δε υμιν γραμματεισ και φαρισαιοι υποκριται οτι καταισθειεται τασ οικειασ των χηρων και προφασει μακρα προσευχομενοι δια τουτο λημψεσθαι περισσοτερον κριμα,"woe to you, scribes and Pharisees, hypocrites! For you devour widows’ houses, and as a pretense you make long prayers. Therefore you will receive greater condemnation."
40025014,Matt. 25:14,end,ευθεως,immediately
40026060,Matt. 26:60,end,υστερον δε προσελθοντες δυο,but later two having approached
40027049,Matt. 27:49,end*,αλλος δε λαβων λογχην ενυξεν αυτου την πλευραν και εξηλθεν υδωρ και αιμα,and another haven taken a spear pierced him on the side and out came water and blood
40028009,Matt. 28:9,start*,ως δε επορευοντο απαγγειλαι τοις μαθηταις αυτου,but as they were going to report to his disciples
41001023,Mark 1:23,end,και ανεκραξεν,and he cried out
41003016,Mark 3:16,start*,και εποιησεν τους δωδεκα,and he appointed the twelve
41003020,Mark 3:20,start,και ερχεται εις οικον,and he is came to a house
41006027,Mark 6:27,end,και απελθων απεκεφαλισεν αυτον εν τη φυλακη,and he went and beheaded him in the prison
41006033,Mark 6:23,end*,και συνηλθον προς αυτον,and came together to him
41009050,Mark 9:50,join,εχετε εν εαυτοις αλα και ειρηνευετε εν αλληλοις,"have salt in yourselves, and be at peace with one another"
41010033,Mark 10:33,start,οτι ιδου,behold
41010052,Mark 10:52,join,και ευθυς ανεβλεψεν και ηκολουθει αυτω εν τη οδω ,and immediately he received sight and was following after him on the way
41012014,Mark 12:14,end,δωμεν η μη δωμεν,"shall we give, or shall we not give"
41013008,Mark 13:8,end,αρχη ωδινων ταυτα,these things are the beginning of birth pains
42001073,Luke 1:73,end,του δουναι ημιν,to grant to us
42004018,Luke 4:18,end,κηρυξαι αιχμαλωτοις αφεσιν και τυφλοις αναβλεψιν αποστειλαι τεθραυσμενους εν αφεσει,"to proclaim release to the captives and the regaining of sight to the blind, to set free those who are oppressed"
42004034,Luke 4:34,start,λεγων,saying
42005038,Luke 5:38,end*,και αμφοτεροι συντηρουνται ,and both are preserved
42006018,Luke 6:18,start,οι ηλθον ακουσαι αυτου και ιαθηναι απο των νοσων αυτων,who came to hear him and to be healed of their diseases
42007018,Luke 7:18,end,και προσκαλεσαμενος δυο τινας των μαθητων αυτου ο ιωαννης,and John calling to himself two of his disciples
42014004,Luke 14:4,start,οι δε ησυχασαν ,but they remained silent
42014035,Luke 14:35,start,ουτε εισ  γην ουτε εισ κοπριαν ευθετον εστι εξω βαλλουσιν αυτο ο εχων ωτα ακουειν ακουετω,"it is fit neither for the soil nor for the manure pile, and it is thrown out. he who has ears to hear, let him hear"
42017036,Luke 17:36,end,και ο ετερος αφεθησεται,and the other left
42019038,Luke 19:38,start,λεγοντες,saying
